Date,MT Close,WSJ Close,Open,High,Low,Yahoo Close,Volume,Close
1937-12-06,126.21,,,,,,,126.21
1937-12-07,128.31,,,,,,,128.31
1937-12-08,129.8,,,,,,,129.8
1937-12-09,128.15,,,,,,,128.15
1937-12-10,126.72,,,,,,,126.72
1937-12-11,126.83,,,,,,,126.83
1937-12-13,122.83,,,,,,,122.83
1937-12-14,123.5,,,,,,,123.5
1937-12-15,124.19,,,,,,,124.19
1937-12-16,125.75,,,,,,,125.75
1937-12-17,124.98,,,,,,,124.98
1937-12-18,126.63,,,,,,,126.63
1937-12-20,129.08,,,,,,,129.08
1937-12-21,129.98,,,,,,,129.98
1937-12-22,128.55,,,,,,,128.55
1937-12-23,127.63,,,,,,,127.63
1937-12-24,127.36,,,,,,,127.36
1937-12-27,123.45,,,,,,,123.45
1937-12-28,118.93,,,,,,,118.93
1937-12-29,120.15,,,,,,,120.15
1937-12-30,121.56,,,,,,,121.56
1937-12-31,120.85,,,,,,,120.85
1938-01-03,120.57,,,,,,,120.57
1938-01-04,124.61,,,,,,,124.61
1938-01-05,124.66,,,,,,,124.66
1938-01-06,128.97,,,,,,,128.97
1938-01-07,128.21,,,,,,,128.21
1938-01-08,130.84,,,,,,,130.84
1938-01-10,133.55,,,,,,,133.55
1938-01-11,134.35,,,,,,,134.35
1938-01-12,133.22,,,,,,,133.22
1938-01-13,131.6,,,,,,,131.6
1938-01-14,131.84,,,,,,,131.84
1938-01-15,134.31,,,,,,,134.31
1938-01-17,132.49,,,,,,,132.49
1938-01-18,131.53,,,,,,,131.53
1938-01-19,130.09,,,,,,,130.09
1938-01-20,132.33,,,,,,,132.33
1938-01-21,130.69,,,,,,,130.69
1938-01-22,130.0,,,,,,,130.0
1938-01-24,129.89,,,,,,,129.89
1938-01-25,128.33,,,,,,,128.33
1938-01-26,123.23,,,,,,,123.23
1938-01-27,121.57,,,,,,,121.57
1938-01-28,120.66,,,,,,,120.66
1938-01-29,120.14,,,,,,,120.14
